serial,title,pdf_url,filename,status,error_message,file_size_kb,timestamp
23,"वित्‍त निर्देश-22   13 मई, 2010",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2010/22.pdf,23_राज्‍य_में_नियुक्तियों_पर_प्रतिबंध_-बस्‍तर_संभाग_हेतु_शिथिलीकरण.pdf,ok,,41.31,2026-05-21T01:19:48.311426
24,"वित्‍त निर्देश-37   01 दिसम्‍बर, 2009",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2009/37.pdf,24_अधिकारियों_को_शासकीय_दूरभाष_की_सुविधा_के_संबंध_में_।.pdf,ok,,170.94,2026-05-21T01:19:50.133758
25,"वित्‍त निर्देश-36   01 दिसम्‍बर, 2009",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2009/36.pdf,25_शासकीय_वाहनों_की_पात्रता_एवं_क्रय_।.pdf,ok,,97.8,2026-05-21T01:19:52.561473
26,"वित्‍त निर्देश-28-अ   07 अगस्‍त, 2007",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2007/28-A.pdf,26_शासकीय_व्‍यय_में_मितव्‍यता_तथा_वित्‍तीय_अनुशासन.pdf,ok,,70.7,2026-05-21T01:19:54.900049
27,"वित्‍त निर्देश-23   10 अगस्‍त, 2006",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2006/23.pdf,27_इंडियन_एयर_लाईन्‍स_में_यात्रा_हेतु_सुपर_सेवर_उत्‍सव_प्‍लस_योजना_के_तहत_टिकट_क्रय_करने_बाबत्.pdf,ok,,288.14,2026-05-21T01:19:57.461772
28,"वित्‍त निर्देश-07   13 मार्च, 2006",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2006/07.pdf,28_देयकों_के_आहरण_पर_प्रतिबंध.pdf,ok,,75.71,2026-05-21T01:19:59.528258
29,"वित्‍त निर्देश-04   20 जनवरी, 2006",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2006/04.pdf,29_वर्ष_2005-06_के_बजट_में_प्रावधानित_राशि_से_15_जनवरी_2006_के_बाद_क्रय_पर_प्रतिबंध.pdf,ok,,106.23,2026-05-21T01:20:01.606629
30,"वित्‍त निर्देश-08   09 मार्च, 2005",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2005/08.pdf,30_देयकों_के_आहरण_पर_प्रतिबंध।.pdf,ok,,65.41,2026-05-21T01:20:03.370930
31,"वित्‍त निर्देश-07   09 मार्च, 2005",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2005/07.pdf,31_वर्ष_2004-005_के_बजट_में_प्रावधानित_राशि_से_28_फरवरी_2005_के_बाद_क्रय_पर_प्रतिबंध।.pdf,ok,,62.64,2026-05-21T01:20:05.773113
32,"वित्‍त निर्देश-05   15 फरवरी, 2005",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2005/05.pdf,"32_वर्ष_2004-05_के_बजट_में_प्रावधानित_राशि_से_15_फरवरी,_2005_के_बाद_क्रय_पर_प्रतिबंध।.pdf",ok,,61.97,2026-05-21T01:20:07.575023
33,"वित्‍त निर्देश-01   12 जनवरी, 2005",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2005/01.pdf,"33_वर्ष_2004-2005_के_बजट_में_प्रावधिानित_राशि_से_फरवरी,_2005_के_बाद_क्रय_पर_प्रतिबंध।.pdf",ok,,82.92,2026-05-21T01:20:09.746991
34,"वित्‍त निर्देश-15   06 मार्च, 2004",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2004/15.pdf,34_देयकों_के_आहरण_पर_प्रतिबंध_।.pdf,ok,,43.41,2026-05-21T01:20:12.069605
35,"वित्‍त निर्देश-07   15 जनवरी, 2004",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2004/07.pdf,"35_वर्ष_2003-2004_के_बजट_में_प्रावधानित_राशि_से_15_जनवरी,_2004_के_बाद_क्रय_पर_प्रतिबंद्ध_।.pdf",ok,,20.92,2026-05-21T01:20:14.151875
36,"वित्‍त निर्देश-57   02 दिसम्‍बर, 2003",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2003/57.pdf,36_दूरभाष_यंत्र_पर_निर्धारित_सीमा_से_अधिक_हुए_व्‍यय_के_प्रस्‍ताव_वित्‍त_विभाग_को_भेजते_समय_आवश्‍यक_निर्देश.pdf,ok,,66.29,2026-05-21T01:20:15.691838
37,"वित्‍त निर्देश-08   06 मार्च, 2003",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2003/08.pdf,37_देयकों_के_आहरण_पर_प्रतिबंध.pdf,ok,,53.42,2026-05-21T01:20:17.842202
